regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-03-27;13;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-03-28;13;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-03-29;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-03-30;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-03-31;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-01;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-02;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-03;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-04;14;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-05;15;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-06;15;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-07;15;19934;0;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-08;15;19934;1;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-09;15;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-10;15;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-11;15;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-12;16;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-13;16;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-14;16;19934;2;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-15;16;19934;3;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-16;16;19934;1;-2;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-17;16;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-18;16;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-19;17;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-20;17;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-21;17;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-22;17;19934;1;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-23;17;19934;2;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-24;17;19934;2;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-25;17;19934;3;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-26;18;19934;3;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-27;18;19934;5;2;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-28;18;19934;5;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-29;18;19934;5;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-04-30;18;19934;5;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-01;18;19934;8;3;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-02;18;19934;8;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-03;19;19934;8;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-04;19;19934;8;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-05;19;19934;8;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-06;19;19934;9;1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-07;19;19934;16;7;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-08;19;19934;16;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-09;19;19934;15;-1;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-10;20;19934;15;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-11;20;19934;21;6;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-12;20;19934;21;0;0;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-13;20;19934;22;1;2;2;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-14;20;19934;24;2;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-15;20;19934;25;1;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-16;20;19934;25;0;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-17;21;19934;24;-1;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-18;21;19934;32;8;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-19;21;19934;32;0;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-20;21;19934;41;9;2;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-21;21;19934;42;1;3;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-22;21;19934;45;3;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-23;21;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-24;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-25;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-26;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-27;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-28;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-29;22;19934;45;0;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-30;22;19934;68;23;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-05-31;23;19934;69;1;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-01;23;19934;70;1;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-02;23;19934;80;10;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-03;23;19934;86;6;3;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-04;23;19934;92;6;4;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-05;23;19934;99;7;4;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-06;23;19934;107;8;5;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-07;24;19934;110;3;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-08;24;19934;109;-1;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-09;24;19934;119;10;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-10;24;19934;133;14;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-11;24;19934;146;13;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-12;24;19934;146;0;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-13;24;19934;152;6;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-14;25;19934;152;0;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-15;25;19934;152;0;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-16;25;19934;153;1;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-17;25;19934;166;13;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-18;25;19934;175;9;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-19;25;19934;179;4;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-20;25;19934;186;7;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-21;26;19934;185;-1;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-22;26;19934;189;4;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-23;26;19934;197;8;5;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-24;26;19934;200;3;6;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-25;26;19934;207;7;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-26;26;19934;209;2;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-27;26;19934;210;1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-28;27;19934;212;2;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-29;27;19934;211;-1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-06-30;27;19934;214;3;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-01;27;19934;219;5;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-02;27;19934;224;5;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-03;27;19934;228;4;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-04;27;19934;231;3;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-05;28;19934;230;-1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-06;28;19934;230;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-07;28;19934;241;11;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-08;28;19934;253;12;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-09;28;19934;253;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-10;28;19934;259;6;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-11;28;19934;266;7;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-12;29;19934;266;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-13;29;19934;266;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-14;29;19934;268;2;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-15;29;19934;270;2;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-16;29;19934;275;5;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-17;29;19934;276;1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-18;29;19934;277;1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-19;30;19934;277;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-20;30;19934;278;1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-21;30;19934;292;14;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-22;30;19934;295;3;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-23;30;19934;296;1;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-24;30;19934;296;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-25;30;19934;298;2;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-26;31;19934;298;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-27;31;19934;298;0;6;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-28;31;19934;301;3;7;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-29;31;19934;306;5;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-30;31;19934;309;3;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-07-31;31;19934;315;6;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-01;31;19934;320;5;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-02;32;19934;319;-1;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-03;32;19934;320;1;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-04;32;19934;324;4;7;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-05;32;19934;326;2;8;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-06;32;19934;332;6;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-07;32;19934;340;8;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-08;32;19934;342;2;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-09;33;19934;342;0;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-10;33;19934;342;0;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-11;33;19934;348;6;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-12;33;19934;350;2;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-13;33;19934;357;7;8;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-14;33;19934;361;4;9;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-15;33;19934;363;2;9;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-16;34;19934;363;0;9;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-17;34;19934;363;0;9;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-18;34;19934;364;1;9;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-19;34;19934;370;6;10;1;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-20;34;19934;374;4;10;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-21;34;19934;373;-1;10;0;;;0
Nordeste;CE;Icapuí;23;230535;23007;7ª REGIAO ARACATI;2020-08-22;34;19934;377;4;11;1;;;0
